Req_ID,Requirement,Type,Parent,Allocated_To,Verification,Covered_By,Status
SYS-001,The system shall autonomously detect a commanded AprilTag and head toward it without operator piloting.,functional,MOE-01,C-CTRL; C-APRIL,Demonstration,VER-001; VER-U02,draft
SYS-002,The system shall reduce range to the commanded tag at a measurable nonzero rate under nominal conditions.,performance,MOP-01,C-CTRL; C-FIN,Test,VER-002; VER-U01,draft
SYS-003,The system shall operate submerged to a maximum depth of 0.75 m.,environmental,STK-EXP-03,C-ENCL,Test,VER-003,draft
SYS-004,The system shall remain watertight with zero ingress for the mission duration at <= 0.75 m.,functional,STK-EXP-03,C-ENCL,Test,VER-004,draft
SYS-005,The system shall accept missions and report status through the operator console.,interface,STK-EXP-01,C-CRAB; C-OPC,Demonstration,VER-005,draft
SYS-006,"The system shall be safe to retrieve by hand from the water at any time, presenting no shock, burn, or high-energy pinch hazard.",safety,STK-EXP-02,C-VEH; C-ENCL,Inspection,VER-006b,draft
SYS-009,The system shall autonomously search (sweep) for the commanded tag when it is not initially within the camera field of view.,functional,MOE-01,C-CTRL,Demonstration,VER-009,draft
SYS-010,"On no measurable progress toward the commanded tag, the system shall auto-retry up to a configured limit and then escalate to the operator.",functional,STK-EXP-01,C-CRAB; C-CTRL,Demonstration,VER-010,draft
SYS-011,"The system shall accept a FIFO queue of tag missions and support priority missions that preempt or reorder the running mission, with a configurable wait timeout before preemption.",interface,STK-EXP-01,C-CRAB; C-OPC,Demonstration,VER-011; VER-U06,draft
SYS-007,The system shall reliably detect a 200 mm tag36h11 AprilTag at ranges >= 1.5 m under nominal lighting.,performance,MOP-02,C-APRIL; C-CAM,Test,VER-007; VER-U07,draft
SYS-008,The system shall declare a homing mission ACHIEVED when range to the commanded tag is <= 0.30 m and bearing is aligned.,functional,MOP-03,C-CTRL,Demonstration,VER-008; VER-U09,draft
SYS-012,"The system shall be slightly negatively buoyant, resting on the pool floor when unpowered, and shall be retrievable by hand or pole from <= 0.75 m.",mechanical,STK-EXP-02,C-VEH; C-HULL,Test,VER-012,draft
SYS-013,The system shall sustain at least 30 minutes of continuous autonomous operation per deployment.,performance,STK-EXP-01,C-POWER; C-COMPUTE,Test,VER-013,draft
SYS-014,"The system shall navigate to a defined home position (pool centre) using AprilTag bearing and range within the known, measured pool.",functional,STK-EXP-01,C-CTRL; C-APRIL,Demonstration,VER-014,draft
SYS-015,The system shall not actuate any propulsor during a configurable startup settling period (default 10 s) after power-on.,safety,STK-EXP-02,C-CTRL,Test,VER-015; VER-U10,draft
SYS-016,"On loss of a sensor input or an internal fault, the system shall transition to a stable hover (HOVERING) rather than continue an uncommanded manoeuvre.",safety,STK-EXP-02,C-CTRL,Demonstration,VER-016,draft
SYS-017,The system shall clamp every propulsor command to its configured mechanical limits before output.,safety,STK-EXP-02,C-CTRL,Test,VER-017; VER-U03,draft
SYS-018,"The system shall reject malformed mission, configuration, or detection messages without crashing and without commanding the propulsors.",safety,STK-EXP-02,C-CRAB; C-CTRL,Test,VER-018; VER-U08,draft
SYS-019,The system shall ignore target detections older than a configured age and shall not act on stale perception data.,safety,STK-EXP-02,C-CTRL,Test,VER-019; VER-U04,draft
SYS-020,The system shall command the propulsors only after receiving the latched robot configuration (correct actuator mapping).,safety,STK-EXP-02,C-CTRL; C-CRAB,Test,VER-020; VER-U05,draft
MEC-001,The vehicle dry mass shall be 1-3 kg (recorded by weigh-in) to meet the buoyancy/ballast budget.,mechanical,SYS-012,C-VEH,Inspection,VER-M01,draft
MEC-002,"The fins shall be Garolite reinforced with a carbon-fiber rod, with interchangeable surfaces (Icarex+PVA aerial / nylon+steel underwater).",mechanical,SYS-002,C-FIN,Inspection,VER-M02,draft
MEC-003,The aluminum enclosure shall be sealed watertight with silicone at the lid/seams and cord grips at every cable penetration (strain-relieved).,mechanical,SYS-004,C-ENCL,Inspection,VER-M03,draft
ELE-001,The vehicle shall be powered by a 3S LiPo (~2200 mAh) supplying separate servo and compute rails.,electrical,SYS-013,C-POWER,Inspection,VER-E01,draft
ELE-002,Battery voltage shall not be driven below the LiPo safe cutoff (~9.0 V / 3.0 V per cell); operation below shall trigger a warning or safe shutdown.,electrical,SYS-016,C-POWER,Test,VER-E02,draft
ELE-003,Each servo's current limit shall be configured (factory default) and the peak per-servo current recorded and within safe thermal range.,electrical,SYS-017,C-SERVO,Test,VER-E03,draft
ELE-004,"All wiring shall show end-to-end continuity < 1 ohm, no unintended shorts, and intact insulation with no exposed conductors reachable when wet.",electrical,SYS-006,C-POWER,Test,VER-E04,draft
ELE-005,All four servos shall enumerate and respond on the RS-485 bus (Dynamixel Protocol 2.0).,electrical,SYS-001,C-SERVO; C-COMPUTE,Test,VER-E05,draft
