Activity_ID,Verifies,Requirement,Method,Integrity,Phase,Venue,Automated,Human_Loop,Script,Tool,Pass_Criterion,Status
VER-001,SYS-001,The system shall autonomously detect a commanded AprilTag and head toward it without operator piloting.,Demonstration,high,validation,water,none,,,onboard logs (software),"Vehicle reaches ACHIEVED autonomously, unpiloted.",open
VER-002,SYS-002,The system shall reduce range to the commanded tag at a measurable nonzero rate under nominal conditions.,Test,high,validation,water,none,,,onboard apriltag log + overhead phone camera,Range decreases monotonically; mean closure rate > 0 recorded.,open
VER-003,SYS-003,The system shall operate submerged to a maximum depth of 0.75 m.,Test,critical,verification,water,none,,,tape measure + pool,Operates at 0.75 m; no ingress (per VER-004).,open
VER-004,SYS-004,The system shall remain watertight with zero ingress for the mission duration at <= 0.75 m.,Test,critical,verification,water,none,,,pool + food-colouring dye + paper-towel/tissue witness,Zero water/dye on the interior witness.,open
VER-005,SYS-005,The system shall accept missions and report status through the operator console.,Demonstration,medium,verification,sil,partial,yes,,operator console (software),Mission accepted and status reported.,open
VER-006b,SYS-006,"The system shall be safe to retrieve by hand from the water at any time, presenting no shock, burn, or high-energy pinch hazard.",Inspection,critical,verification,hil,none,,,digital multimeter + thermometer/IR gun,No net-to-water continuity; surface touch-safe; retrievable by hand/pole.,open
VER-007,SYS-007,The system shall reliably detect a 200 mm tag36h11 AprilTag at ranges >= 1.5 m under nominal lighting.,Test,high,verification,hil,partial,,,tape measure + 200 mm waterproof tag on stand + onboard log,Reliable detection at >= 1.5 m.,open
VER-008,SYS-008,The system shall declare a homing mission ACHIEVED when range to the commanded tag is <= 0.30 m and bearing is aligned.,Demonstration,medium,validation,water,none,,,onboard apriltag log,Range <= 0.30 m at ACHIEVED.,open
VER-009,SYS-009,The system shall autonomously search (sweep) for the commanded tag when it is not initially within the camera field of view.,Demonstration,medium,validation,sil,partial,,,kinematic Gazebo (tag in world) or onboard logs + overhead camera,Vehicle finds a tag not initially visible.,open
VER-010,SYS-010,"On no measurable progress toward the commanded tag, the system shall auto-retry up to a configured limit and then escalate to the operator.",Demonstration,high,validation,sil,partial,yes,,kinematic Gazebo or host-side + onboard logs,No-progress detected; retries then escalates; no erratic motion.,open
VER-011,SYS-011,"The system shall accept a FIFO queue of tag missions and support priority missions that preempt or reorder the running mission, with a configurable wait timeout before preemption.",Demonstration,medium,verification,sil,partial,yes,,software (host-side or sim),Queue executes in order; override preempts per the timeout.,open
VER-012,SYS-012,"The system shall be slightly negatively buoyant, resting on the pool floor when unpowered, and shall be retrievable by hand or pole from <= 0.75 m.",Test,high,verification,water,none,,,digital scale + hanging/spring scale + calibration weights + pool,"F_b < W_air (net negative); vehicle sinks slowly, rests on floor, retrievable.",open
